date,surname,goods_count,total_money
30.12.2016,Ivanov,4,100
30.12.2016,Petrov,1,100
31.12.2016,Sidorov,2,10
31.12.2016,Petrov,4,230
31.12.2016,Ivanov,42,420
31.12.2016,Ivanov,5,101
01.01.2017,Ivanov,4,100
02.01.2017,Petrov,1,100
02.01.2017,Sidorov,2,10
03.01.2017,Petrov,4,230
03.01.2017,Ivanov,42,420
03.01.2017,Ivanov,5,101
04.01.2017,Petrov,9,126
04.01.2017,Petrov,2,561
06.01.2017,Sidorov,2,121
08.01.2017,Sidorov,7,313
09.01.2017,Ivanov,6,1132
10.01.2017,Petrov,23,546
10.01.2017,Ivanov,43,43
10.01.2017,Sidorov,1,7657
12.01.2017,Sidorov,12,432
14.01.2017,Petrov,11,234
14.01.2017,Ivanov,9,123
